Method,Model 1,Model 2,Matches,Total Clusters,Match Rate (%)
standard,gpt-4o,gpt-4o,8.0,8,100.0
standard,gpt-4o,gpt-4o-2024-05-13,6.48,8,81.03
standard,gpt-4o,gpt-3.5-turbo,7.2,8,90.04
standard,gpt-4o,llama3-1b,4.48,8,55.94
standard,gpt-4o-2024-05-13,gpt-4o-2024-05-13,8.0,8,100.0
standard,gpt-4o-2024-05-13,gpt-3.5-turbo,6.6,8,82.54
standard,gpt-4o-2024-05-13,llama3-1b,2.76,8,34.56
standard,gpt-3.5-turbo,gpt-3.5-turbo,8.0,8,100.0
standard,gpt-3.5-turbo,llama3-1b,3.33,8,41.56
standard,llama3-1b,llama3-1b,8.0,8,100.0
kneed,gpt-4o,gpt-4o,8.0,8,100.0
kneed,gpt-4o,gpt-4o-2024-05-13,5.19,8,64.86
kneed,gpt-4o,gpt-3.5-turbo,6.13,8,76.64
kneed,gpt-4o,llama3-1b,3.6,8,44.98
kneed,gpt-4o-2024-05-13,gpt-4o-2024-05-13,7.0,8,87.5
kneed,gpt-4o-2024-05-13,gpt-3.5-turbo,4.67,8,58.41
kneed,gpt-4o-2024-05-13,llama3-1b,3.71,8,46.39
kneed,gpt-3.5-turbo,gpt-3.5-turbo,8.0,8,100.0
kneed,gpt-3.5-turbo,llama3-1b,2.98,8,37.24
kneed,llama3-1b,llama3-1b,8.0,8,100.0
inflection,gpt-4o,gpt-4o,2.0,2,100.0
inflection,gpt-4o,gpt-4o-2024-05-13,1.0,2,50.0
inflection,gpt-4o,gpt-3.5-turbo,1.92,2,96.15
inflection,gpt-4o,llama3-1b,0.53,2,26.42
inflection,gpt-4o-2024-05-13,gpt-4o-2024-05-13,1.0,2,50.0
inflection,gpt-4o-2024-05-13,gpt-3.5-turbo,1.0,2,50.0
inflection,gpt-4o-2024-05-13,llama3-1b,0.2,2,9.76
inflection,gpt-3.5-turbo,gpt-3.5-turbo,2.0,2,100.0
inflection,gpt-3.5-turbo,llama3-1b,0.43,2,21.52
inflection,llama3-1b,llama3-1b,2.0,2,100.0
