Method,Model 1,Model 2,Matches,Total Clusters,Match Rate (%)
standard,gpt-4o,gpt-4o,8.0,8,100.0
standard,gpt-4o,gpt-4o-2024-05-13,4.12,8,51.52
standard,gpt-4o,gpt-3.5-turbo,4.93,8,61.67
standard,gpt-4o,llama3-1b,1.87,8,23.33
standard,gpt-4o-2024-05-13,gpt-4o-2024-05-13,7.6,8,94.96
standard,gpt-4o-2024-05-13,gpt-3.5-turbo,5.36,8,66.94
standard,gpt-4o-2024-05-13,llama3-1b,0.49,8,6.17
standard,gpt-3.5-turbo,gpt-3.5-turbo,8.0,8,100.0
standard,gpt-3.5-turbo,llama3-1b,1.12,8,13.96
standard,llama3-1b,llama3-1b,8.0,8,100.0
kneed,gpt-4o,gpt-4o,8.0,8,100.0
kneed,gpt-4o,gpt-4o-2024-05-13,2.58,8,32.29
kneed,gpt-4o,gpt-3.5-turbo,3.33,8,41.67
kneed,gpt-4o,llama3-1b,0.75,8,9.38
kneed,gpt-4o-2024-05-13,gpt-4o-2024-05-13,7.0,8,87.5
kneed,gpt-4o-2024-05-13,gpt-3.5-turbo,2.67,8,33.33
kneed,gpt-4o-2024-05-13,llama3-1b,1.33,8,16.67
kneed,gpt-3.5-turbo,gpt-3.5-turbo,7.38,8,92.24
kneed,gpt-3.5-turbo,llama3-1b,0.5,8,6.25
kneed,llama3-1b,llama3-1b,8.0,8,100.0
inflection,gpt-4o,gpt-4o,2.0,2,100.0
inflection,gpt-4o,gpt-4o-2024-05-13,1.0,2,50.0
inflection,gpt-4o,gpt-3.5-turbo,1.33,2,66.67
inflection,gpt-4o,llama3-1b,0.0,2,0.0
inflection,gpt-4o-2024-05-13,gpt-4o-2024-05-13,1.0,2,50.0
inflection,gpt-4o-2024-05-13,gpt-3.5-turbo,1.0,2,50.0
inflection,gpt-4o-2024-05-13,llama3-1b,0.0,2,0.0
inflection,gpt-3.5-turbo,gpt-3.5-turbo,2.0,2,100.0
inflection,gpt-3.5-turbo,llama3-1b,0.0,2,0.0
inflection,llama3-1b,llama3-1b,2.0,2,100.0
