Method,Model 1,Model 2,Matches,Total Clusters,Match Rate (%)
standard,gpt-4o,gpt-4o,8,8,100.0
standard,gpt-4o,gpt-4o-2024-05-13,2,8,25.0
standard,gpt-4o,gpt-3.5-turbo,4,8,50.0
standard,gpt-4o,llama3-1b,0,8,0.0
standard,gpt-4o-2024-05-13,gpt-4o-2024-05-13,8,8,100.0
standard,gpt-4o-2024-05-13,gpt-3.5-turbo,4,8,50.0
standard,gpt-4o-2024-05-13,llama3-1b,0,8,0.0
standard,gpt-3.5-turbo,gpt-3.5-turbo,8,8,100.0
standard,gpt-3.5-turbo,llama3-1b,0,8,0.0
standard,llama3-1b,llama3-1b,8,8,100.0
kneed,gpt-4o,gpt-4o,8,8,100.0
kneed,gpt-4o,gpt-4o-2024-05-13,2,8,25.0
kneed,gpt-4o,gpt-3.5-turbo,3,8,37.5
kneed,gpt-4o,llama3-1b,0,8,0.0
kneed,gpt-4o-2024-05-13,gpt-4o-2024-05-13,8,8,100.0
kneed,gpt-4o-2024-05-13,gpt-3.5-turbo,2,8,25.0
kneed,gpt-4o-2024-05-13,llama3-1b,1,8,12.5
kneed,gpt-3.5-turbo,gpt-3.5-turbo,8,8,100.0
kneed,gpt-3.5-turbo,llama3-1b,0,8,0.0
kneed,llama3-1b,llama3-1b,8,8,100.0
inflection,gpt-4o,gpt-4o,2,2,100.0
inflection,gpt-4o,gpt-4o-2024-05-13,1,2,50.0
inflection,gpt-4o,gpt-3.5-turbo,1,2,50.0
inflection,gpt-4o,llama3-1b,0,2,0.0
inflection,gpt-4o-2024-05-13,gpt-4o-2024-05-13,2,2,100.0
inflection,gpt-4o-2024-05-13,gpt-3.5-turbo,1,2,50.0
inflection,gpt-4o-2024-05-13,llama3-1b,0,2,0.0
inflection,gpt-3.5-turbo,gpt-3.5-turbo,2,2,100.0
inflection,gpt-3.5-turbo,llama3-1b,0,2,0.0
inflection,llama3-1b,llama3-1b,2,2,100.0
